Sample	type	UAR.X	UAR.Y
N214	XY	4.723193792	0.082602502
N215	XY	4.791950517	0.076005628
N216	XY	5.063736824	0.047949867
N217	XY	4.817995149	0.070838173
N218	XY	4.746013691	0.079361914
N219	XY	4.760981826	0.078046007
N220	XY	4.927555072	0.069252488
N221	XY	4.774504975	0.076678066
N222	XY	4.453992582	0.108146911
N223	XY	4.689009718	0.085802477
N224	XY	4.979445124	0.049010447
N225	XY	5.220990803	0.041229303
N226	XY	4.840349586	0.067317695
N227	XY	4.15378024	0.142849369
N228	XY	4.818559466	0.068181319
N229	XY	4.655023569	0.089523302
N230	XY	4.667597498	0.088002485
N231	XY	4.660246498	0.088622481
N232	XY	4.544395508	0.111574713
N233	XY	4.791477495	0.072553972
N234	XY	4.716402206	0.079035681
N235	XY	4.860684665	0.064778703
N236	XY	4.31494787	0.126714995
N237	XY	4.648080004	0.08487205
N238	XY	4.685162345	0.080482661
N239	XY	4.865104575	0.062758324
N240	XY	4.764860391	0.074013215
N241	XY	4.536913318	0.106400306
N242	XY	4.863094681	0.065784024
N243	XY	4.672556166	0.091748645
N244	XY	4.63001146	0.084447359
N245	XY	4.70158941	0.087582779
N246	XY	4.793559696	0.078620776
N247	XY	4.79329673	0.078745347
N248	XY	4.624044672	0.097348925
N249	XY	4.858850119	0.069673848
N250	XY	4.72033455	0.080122877
N251	XY	4.859832297	0.058716979
N252	XY	4.507392346	0.110630008
N253	XY	4.864665531	0.064068368
N254	XY	4.925703876	0.060247596
N255	XY	4.741962045	0.088316104
N256	XY	4.716459505	0.080512364
N257	XY	4.732785614	0.078865084
N258	XY	4.609413525	0.097660041
N259	XY	4.809273556	0.066765905
N260	XY	4.377371786	0.118075253
N261	XY	4.679862312	0.090950361
N262	XY	4.903381085	0.071117258
N263	XY	5.297287824	0.045622964
N264	XY	4.407284068	0.111468974
N265	XY	4.908171605	0.066967661
N266	XY	4.817954372	0.074799814
N267	XY	4.840190843	0.067986662
N268	XY	4.971958552	0.053762982
N269	XY	4.980680323	0.051125869
N270	XY	4.688401924	0.083815997
N271	XY	4.723768396	0.091437949
N272	XY	4.816540819	0.070838027
N273	XY	4.941902559	0.054202753
N274	XY	4.253982502	0.137100379
N275	XY	4.87593737	0.066375379
N276	XY	4.609538229	0.093629989
N277	XY	4.688878749	0.089137914
N278	XY	4.833205965	0.0727804
